key,region,description,easting,northing,latitude,longitude,url
ST701F,Shatin & Ma On Shan,Tolo Highway near Sha Tin Sewage Treatment Works,839792,829761,22.40714628,114.2110997,http://tdcctv.data.one.gov.hk/ST701F.JPG
TC551F,Lantau,Kap Shui Mun Bridge,823943,822910,22.34523759,114.0572263,http://tdcctv.data.one.gov.hk/TC551F.JPG
TC573F,Lantau,Lantau Link near Toll Plaza,822059,822037,22.33733939,114.0389447,http://tdcctv.data.one.gov.hk/TC573F.JPG
NL126F,Lantau,North Lantau Highway near Pak Mong,814547,817700,22.2980955,113.9660833,http://tdcctv.data.one.gov.hk/NL126F.JPG
NL124F,Lantau,North Lantau Highway near Siu Ho Wan,817064,819024,22.31008185,113.9904935,http://tdcctv.data.one.gov.hk/NL124F.JPG
NL121F,Lantau,North Lantau Highway near Sunny Bay,820157,820671,22.3249869,114.0204954,http://tdcctv.data.one.gov.hk/NL121F.JPG
NL128F,Lantau,North Lantau Highway near Tung Chung,812644,816693,22.2889767,113.9476306,http://tdcctv.data.one.gov.hk/NL128F.JPG
PB106F,Lantau,Penny's Bay Highway,821732,820713,22.3253802,114.0357825,http://tdcctv.data.one.gov.hk/PB106F.JPG
TC560F,Lantau,Tsing Ma Bridge,825678,823558,22.35110094,114.074065,http://tdcctv.data.one.gov.hk/TC560F.JPG
FH706F,"Tai Po, North & Yuen Long",Fanling Highway near MTR Fanling Station,832332,839116,22.49162524,114.1386246,http://tdcctv.data.one.gov.hk/FH706F.JPG
ST922F,Shatin & Ma On Shan,Lion Rock Tunnel Road near Hung Mui Kuk Road,836822,825080,22.36487795,114.1822532,http://tdcctv.data.one.gov.hk/ST922F.JPG
SW103F,Tuen Mun & Tin Shui Wai,Kong Sham Western Highway near Ha Tsuen,815904,834270,22.44774713,113.9790409,http://tdcctv.data.one.gov.hk/SW103F.JPG
SW108F,Tuen Mun & Tin Shui Wai,Yuen Long Highway near Tan Kwai Tsuen,817765,831681,22.42438851,113.9971503,http://tdcctv.data.one.gov.hk/SW108F.JPG
TL102F,"Tai Po, North & Yuen Long",Tai Lam Tunnel - Yuen Long Side,824294,830115,22.41030489,114.0605797,http://tdcctv.data.one.gov.hk/TL102F.JPG
TL103F,Tuen Mun & Tin Shui Wai,Tai Lam Tunnel - Ting Kau Side,824945,826252,22.37542451,114.0669298,http://tdcctv.data.one.gov.hk/TL103F.JPG
TS102F,Tsuen Wan,Nam Wan Tunnel- Stonecutters Bridge side,829034,821746,22.33475496,114.1066537,http://tdcctv.data.one.gov.hk/TS102F.JPG
TS104F,Tsuen Wan,Tsing Sha Highway near Lai Chi Kok,832853,822590,22.34238857,114.1437231,http://tdcctv.data.one.gov.hk/TS104F.JPG
TS105F,Shatin & Ma On Shan,Sha Tin Heights Tunnel - Sha Tin Side,835713,825380,22.36758712,114.1714857,http://tdcctv.data.one.gov.hk/TS105F.JPG
TW701F,Tsuen Wan,Cheung Pei Shan Road near Mei Wan Street,829853,826388,22.37667801,114.1145851,http://tdcctv.data.one.gov.hk/TW701F.JPG
H702F,Hong Kong Island,Western Harbour Crossing Hong Kong Side,832714,816825,22.29032691,114.1423865,http://tdcctv.data.one.gov.hk/H702F.JPG
